user_id,segment,platform_pref,baseline_motivation,outcome_label
U00000,low,web,0.2876127989516143,1
U00001,mid,web,0.33956409862753634,0
U00002,low,mobile,0.09579971062392781,0
U00003,mid,web,0.7555583870857896,0
U00004,mid,mobile,0.6935018684504091,1
U00005,high,mobile,1.0082234798342002,0
U00006,low,mobile,0.053784409113684865,1
U00007,mid,mobile,0.5690941035862396,1
U00008,low,web,0.23307729638833719,0
U00009,high,web,1.2861642006015765,1
U00010,mid,mobile,0.4975514541856925,1
U00011,mid,web,0.8257944585441783,1
U00012,high,web,1.035103756861752,0
U00013,mid,web,0.708630853661039,1
U00014,low,mobile,0.12917145228518206,0
U00015,mid,mobile,0.6447191097549364,1
U00016,high,web,1.2578238797379968,1
U00017,mid,mobile,0.5360657567285397,1
U00018,mid,mobile,0.5449715497546632,1
U00019,high,mobile,1.3936556709182961,0
U00020,mid,mobile,0.6325506130210011,1
U00021,mid,mobile,0.7586694470399851,1
U00022,high,web,1.3715951762514307,0
U00023,mid,mobile,0.3733425571993038,0
U00024,high,web,1.228485147214113,0
U00025,mid,mobile,0.6317079382153429,1
U00026,mid,web,0.6913550475114822,0
U00027,high,web,1.123652421200334,1
U00028,mid,web,0.5061195319594552,0
U00029,mid,web,0.6893062352059888,0
U00030,mid,web,0.5153403375911693,1
U00031,mid,web,0.3105775055153825,1
U00032,high,mobile,1.2799548453446872,0
U00033,mid,web,0.859845659557213,1
U00034,low,mobile,-0.13340442000246924,1
U00035,mid,web,0.5321933848198874,0
U00036,mid,web,0.6868847287091715,1
U00037,mid,web,0.31078842912230903,1
U00038,low,mobile,0.158169052838676,1
U00039,mid,mobile,0.5521288745053952,0
U00040,high,web,1.243999336794353,1
U00041,mid,web,0.6713742118299019,1
U00042,high,mobile,1.0720496934500503,1
U00043,low,mobile,-0.2441715368890772,1
U00044,mid,web,0.3058387410994684,1
U00045,mid,mobile,0.7676253135788762,0
U00046,mid,web,0.6828818866551992,1
U00047,mid,web,0.6535422924687672,0
U00048,mid,web,0.47758064018803836,1
U00049,high,mobile,1.231409713489069,1
U00050,high,mobile,0.8650634110591285,0
U00051,mid,web,0.6561373533902851,1
U00052,mid,mobile,0.7965479022046115,1
U00053,low,web,-0.14127919055809296,0
U00054,mid,web,0.43572266415512273,0
U00055,low,web,0.332893253218561,1
U00056,mid,web,0.5918474947729132,0
U00057,low,web,-0.013745870085194997,0
U00058,mid,mobile,0.6345175835444239,0
U00059,mid,mobile,0.5762723347780234,1
U00060,mid,web,0.6438765002727712,1
U00061,mid,web,0.6857512876923226,1
U00062,mid,web,0.3551061936558999,0
U00063,high,web,1.5447331441566594,1
U00064,high,web,1.4922888584484404,1
U00065,low,web,-0.1236817547389566,1
U00066,low,mobile,0.09871953331998218,1
U00067,high,web,1.4814963722627432,0
U00068,high,mobile,0.7899655797937954,0
U00069,mid,mobile,0.3562373879152744,1
U00070,high,mobile,1.3831805084712026,0
U00071,mid,web,0.5031661133332843,1
U00072,mid,web,0.7076230874007852,1
U00073,low,web,-0.07398565291767575,0
U00074,high,mobile,1.2353146716907422,1
U00075,high,web,1.245645666027781,0
U00076,low,mobile,-0.11331083763970501,1
U00077,low,web,-0.04767675349087161,1
U00078,high,web,1.0541832324512783,0
U00079,low,web,0.05933351986377309,1
U00080,mid,mobile,1.0422083921184346,1
U00081,mid,web,0.8247721461585289,1
U00082,mid,mobile,0.30659095092180183,1
U00083,high,web,0.980642884309072,1
U00084,low,web,-0.19289165720633542,1
U00085,mid,web,0.9457395288811185,0
U00086,mid,web,0.7554675152123488,1
U00087,high,web,1.1732354070967916,0
U00088,high,web,1.146722501998209,0
U00089,high,web,1.2943077045090277,0
U00090,mid,web,0.6703512816798407,0
U00091,mid,mobile,0.45568839329143046,1
U00092,high,web,1.7628167726529567,1
U00093,high,mobile,1.2771693105113002,0
U00094,high,web,1.2522315433816313,1
U00095,high,mobile,1.2525498450294277,1
U00096,low,web,0.3318596203895452,0
U00097,low,mobile,-0.017881201862487234,1
U00098,low,mobile,0.026957203549111255,1
U00099,high,web,1.2305125024204937,0
U00100,low,web,0.040787433872578945,1
U00101,mid,web,0.525617083735742,0
U00102,mid,web,0.945470042832837,1
U00103,mid,web,0.5342949553754212,1
U00104,mid,mobile,0.5331087655288247,1
U00105,low,mobile,0.533077901352486,0
U00106,mid,web,0.9487869052335585,1
U00107,mid,mobile,0.5406858092930583,1
U00108,mid,web,0.7979167869189706,1
U00109,high,mobile,1.1618697884989682,1
U00110,mid,web,0.9641292315293604,0
U00111,high,mobile,1.1866093654203598,0
U00112,low,mobile,0.4778071083191804,0
U00113,low,mobile,-0.15342934161009972,1
U00114,mid,mobile,0.46577194452068377,1
U00115,mid,web,0.8310624072213393,1
U00116,mid,web,0.660873345806052,1
U00117,low,mobile,0.5040524204128018,0
U00118,mid,mobile,0.7181812645586709,1
U00119,high,web,1.2736713225401317,1
U00120,mid,mobile,0.7627527379932421,0
U00121,mid,mobile,0.6468801785397391,0
U00122,mid,web,0.5704942639519294,0
